datum,vizszint,kut_nev,torzsszam
2025-01-23,5.88,Sátorhely,4576
2025-01-23,5.88,Sátorhely,4576
2025-01-23,5.88,Sátorhely,4576
2025-01-24,5.88,Sátorhely,4576
2025-01-24,5.88,Sátorhely,4576
2025-01-24,5.88,Sátorhely,4576
2025-01-24,5.88,Sátorhely,4576
2025-01-24,5.88,Sátorhely,4576
2025-01-24,5.88,Sátorhely,4576
2025-01-25,5.88,Sátorhely,4576
2025-01-25,5.88,Sátorhely,4576
2025-01-25,5.88,Sátorhely,4576
2025-01-25,5.88,Sátorhely,4576
2025-01-25,5.88,Sátorhely,4576
2025-01-25,5.88,Sátorhely,4576
2025-01-26,5.87,Sátorhely,4576
2025-01-26,5.87,Sátorhely,4576
2025-01-26,5.87,Sátorhely,4576
2025-01-26,5.87,Sátorhely,4576
2025-01-26,5.87,Sátorhely,4576
2025-01-26,5.87,Sátorhely,4576
2025-01-27,5.87,Sátorhely,4576
2025-01-27,5.87,Sátorhely,4576
2025-01-27,5.86,Sátorhely,4576
2025-01-27,5.86,Sátorhely,4576
2025-01-27,5.86,Sátorhely,4576
2025-01-27,5.86,Sátorhely,4576
2025-01-28,5.86,Sátorhely,4576
2025-01-28,5.86,Sátorhely,4576
2025-01-28,5.85,Sátorhely,4576
2025-01-28,5.85,Sátorhely,4576
2025-01-28,5.85,Sátorhely,4576
2025-01-28,5.85,Sátorhely,4576
2025-01-29,5.85,Sátorhely,4576
2025-01-29,5.85,Sátorhely,4576
2025-01-29,5.86,Sátorhely,4576
2025-01-29,5.86,Sátorhely,4576
2025-01-29,5.86,Sátorhely,4576
2025-01-29,5.86,Sátorhely,4576
2025-01-30,5.86,Sátorhely,4576
2025-01-30,5.86,Sátorhely,4576
2025-01-30,5.86,Sátorhely,4576
2025-01-30,5.86,Sátorhely,4576
2025-01-30,5.86,Sátorhely,4576
2025-01-30,5.86,Sátorhely,4576
2025-01-31,5.86,Sátorhely,4576
2025-01-31,5.86,Sátorhely,4576
2025-01-31,5.86,Sátorhely,4576
2025-01-31,5.86,Sátorhely,4576
2025-01-31,5.86,Sátorhely,4576
2025-01-31,5.86,Sátorhely,4576
2025-02-01,5.86,Sátorhely,4576
2025-02-01,5.87,Sátorhely,4576
2025-02-01,5.87,Sátorhely,4576
2025-02-01,5.87,Sátorhely,4576
2025-02-01,5.86,Sátorhely,4576
2025-02-01,5.86,Sátorhely,4576
2025-02-02,5.86,Sátorhely,4576
2025-02-02,5.86,Sátorhely,4576
2025-02-02,5.85,Sátorhely,4576
2025-02-02,5.85,Sátorhely,4576
2025-02-02,5.85,Sátorhely,4576
2025-02-02,5.85,Sátorhely,4576
2025-02-03,5.85,Sátorhely,4576
2025-02-03,5.85,Sátorhely,4576
2025-02-03,5.85,Sátorhely,4576
2025-02-03,5.85,Sátorhely,4576
2025-02-03,5.85,Sátorhely,4576
2025-02-03,5.85,Sátorhely,4576
2025-02-04,5.85,Sátorhely,4576
2025-02-04,5.85,Sátorhely,4576
2025-02-04,5.86,Sátorhely,4576
2025-02-04,5.86,Sátorhely,4576
2025-02-04,5.86,Sátorhely,4576
2025-02-04,5.86,Sátorhely,4576
2025-02-05,5.86,Sátorhely,4576
2025-02-05,5.86,Sátorhely,4576
2025-02-05,5.86,Sátorhely,4576
2025-02-05,5.86,Sátorhely,4576
2025-02-05,5.85,Sátorhely,4576
2025-02-05,5.85,Sátorhely,4576
2025-02-06,5.85,Sátorhely,4576
2025-02-06,5.85,Sátorhely,4576
2025-02-06,5.85,Sátorhely,4576
2025-02-06,5.85,Sátorhely,4576
2025-02-06,5.85,Sátorhely,4576
2025-02-06,5.85,Sátorhely,4576
2025-02-07,5.85,Sátorhely,4576
2025-02-07,5.85,Sátorhely,4576
2025-02-07,5.85,Sátorhely,4576
2025-02-07,5.85,Sátorhely,4576
2025-02-07,5.85,Sátorhely,4576
2025-02-07,5.85,Sátorhely,4576
2025-02-08,5.85,Sátorhely,4576
2025-02-08,5.85,Sátorhely,4576
2025-02-08,5.85,Sátorhely,4576
2025-02-08,5.85,Sátorhely,4576
2025-02-08,5.85,Sátorhely,4576
2025-02-08,5.85,Sátorhely,4576
2025-02-09,5.84,Sátorhely,4576
2025-02-09,5.84,Sátorhely,4576
2025-02-09,5.84,Sátorhely,4576
2025-02-09,5.84,Sátorhely,4576
2025-02-09,5.84,Sátorhely,4576
2025-02-09,5.84,Sátorhely,4576
2025-02-10,5.84,Sátorhely,4576
2025-02-10,5.84,Sátorhely,4576
2025-02-10,5.84,Sátorhely,4576
2025-02-10,5.84,Sátorhely,4576
2025-02-10,5.84,Sátorhely,4576
2025-02-10,5.84,Sátorhely,4576
2025-02-11,5.84,Sátorhely,4576
2025-02-11,5.84,Sátorhely,4576
2025-02-11,5.84,Sátorhely,4576
2025-02-11,5.84,Sátorhely,4576
2025-02-11,5.83,Sátorhely,4576
2025-02-11,5.83,Sátorhely,4576
2025-02-12,5.83,Sátorhely,4576
2025-02-12,5.83,Sátorhely,4576
2025-02-12,5.83,Sátorhely,4576
2025-02-12,5.83,Sátorhely,4576
2025-02-12,5.83,Sátorhely,4576
2025-02-12,5.83,Sátorhely,4576
2025-02-13,5.83,Sátorhely,4576
2025-02-13,5.82,Sátorhely,4576
2025-02-13,5.82,Sátorhely,4576
2025-02-13,5.82,Sátorhely,4576
2025-02-13,5.82,Sátorhely,4576
2025-02-13,5.82,Sátorhely,4576
2025-02-14,5.82,Sátorhely,4576
2025-02-14,5.81,Sátorhely,4576
2025-02-14,5.81,Sátorhely,4576
2025-02-14,5.81,Sátorhely,4576
2025-02-14,5.81,Sátorhely,4576
2025-02-14,5.81,Sátorhely,4576
2025-02-15,5.81,Sátorhely,4576
2025-02-15,5.81,Sátorhely,4576
2025-02-15,5.81,Sátorhely,4576
2025-02-15,5.8,Sátorhely,4576
2025-02-15,5.8,Sátorhely,4576
2025-02-15,5.8,Sátorhely,4576
2025-02-16,5.8,Sátorhely,4576
2025-02-16,5.8,Sátorhely,4576
2025-02-16,5.8,Sátorhely,4576
2025-02-16,5.8,Sátorhely,4576
2025-02-16,5.8,Sátorhely,4576
2025-02-16,5.8,Sátorhely,4576
2025-02-17,5.79,Sátorhely,4576
2025-02-17,5.79,Sátorhely,4576
2025-02-17,5.79,Sátorhely,4576
2025-02-17,5.79,Sátorhely,4576
2025-02-17,5.79,Sátorhely,4576
2025-02-17,5.79,Sátorhely,4576
2025-02-18,5.79,Sátorhely,4576
2025-02-18,5.79,Sátorhely,4576
2025-02-18,5.79,Sátorhely,4576
2025-02-18,5.79,Sátorhely,4576
2025-02-18,5.79,Sátorhely,4576
2025-02-18,5.79,Sátorhely,4576
2025-02-19,5.8,Sátorhely,4576
2025-02-19,5.8,Sátorhely,4576
2025-02-19,5.8,Sátorhely,4576
2025-02-19,5.8,Sátorhely,4576
2025-02-19,5.8,Sátorhely,4576
2025-02-19,5.8,Sátorhely,4576
2025-02-20,5.8,Sátorhely,4576
2025-02-20,5.8,Sátorhely,4576
2025-02-20,5.8,Sátorhely,4576
2025-02-20,5.8,Sátorhely,4576
2025-02-20,5.79,Sátorhely,4576
2025-02-20,5.79,Sátorhely,4576
2025-02-21,5.79,Sátorhely,4576
2025-02-21,5.79,Sátorhely,4576
2025-02-21,5.79,Sátorhely,4576
2025-02-21,5.79,Sátorhely,4576
2025-02-21,5.79,Sátorhely,4576
2025-02-21,5.79,Sátorhely,4576
2025-02-22,5.79,Sátorhely,4576
2025-02-22,5.79,Sátorhely,4576
2025-02-22,5.79,Sátorhely,4576
2025-02-22,5.79,Sátorhely,4576
2025-02-22,5.78,Sátorhely,4576
2025-02-22,5.78,Sátorhely,4576
